"","x"
"1420",7069.40941385435
"1421",20640.5905861456
"1422",0
"1423",21710
"1424",5790.8982252807
"1425",21919.1017747193
"1426",35283.7066246057
"1427",45
"1428",13971.2933753943
"1429",12499.5114942529
"1430",12950.4885057471
"1431",28834.7974683544
"1432",19935.2025316456
"1433",14086.2876137159
"1434",31011.4100769769
"1435",4853.81385584325
"1436",7538.48845346396
"1437",22590
"1438",23651.6750399635
"1439",23268.3249600365
"1440",19044.6339285714
"1441",27375.3660714286
"1442",36944.9885744419
"1443",21995.0114255581
"1444",20943.1695721078
"1445",9704.53248811411
"1446",1552.29793977813
"1447",18270
"1448",11856.376146789
"1449",16053.623853211
"1450",13370
"1451",23047.0025983667
"1452",32762.9974016333
"1453",9490
"1454",4150
"1455",0
"1456",0
"1457",30920
"1458",12355.9674882014
"1459",13024.0325117986
"1460",18099.5150931278
"1461",3650.48490687219
"1462",7242.9476584022
"1463",50457.0523415978
"1464",13190
"1465",23720.0656881864
"1466",208079.934311814
"1467",14596.6959511077
"1468",13133.3040488923
"1469",18970
"1470",2960
"1471",2730
"1472",11930
"1473",14050
"1474",44765.3228388474
"1475",12244.6771611526
"1476",23795
"1477",3325
"1478",15978.7795275591
"1479",9621.22047244095
"1480",0
"1481",0
"1482",23351.8165070007
"1483",34438.1834929993
"1484",22174.6655052265
"1485",6635.33449477352
"1486",15160
"1487",10724.4005156854
"1488",19455.5994843146
"1489",15360
"1490",25374.683972912
"1491",4165.31602708804
"1492",18657.427480916
"1493",23472.572519084
"1494",0
"1495",24740
"1496",0
"1497",38296.4867967853
"1498",27193.5132032147
"1499",26025.8775950391
"1500",12234.1224049609
"1501",30214.8499210111
"1502",9085.15007898894
"1503",0
"1504",44440
"1505",19820
"1506",0
"1507",11035
